"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"378",2021-03-13,6,6.96428571428571,5.10714285714286,11.9642857142857,2.10714285714286,9.12612612612613,9.18018018018018,6.15315315315315,16.7387387387387,2.7027027027027,5.66666666666667,6.33333333333333,4.66666666666667,11.6666666666667,1.33333333333333
"379",2021-03-14,6,6.57142857142857,3.82142857142857,11.8214285714286,1.57142857142857,8.68468468468468,9.35135135135135,5.36036036036036,16.5315315315315,2.55855855855856,7.33333333333333,6.66666666666667,3.33333333333333,10.3333333333333,1.66666666666667
"380",2021-03-15,6.75,6.14285714285714,3.46428571428571,11.25,1.67857142857143,8.85585585585586,9.41441441441441,5.59459459459459,15.2342342342342,2.8018018018018,6.66666666666667,5.33333333333333,4.33333333333333,10,1.66666666666667
"381",2021-03-16,6.17857142857143,6.10714285714286,3.96428571428571,10.9642857142857,1.78571428571429,8.28828828828829,9.14414414414414,5.27927927927928,15.018018018018,2.74774774774775,2.66666666666667,3.33333333333333,2,8,0.666666666666667
"382",2021-03-17,6.25,6.07142857142857,3.82142857142857,8.57142857142857,1.85714285714286,8.07207207207207,8.47747747747748,5.11711711711712,14.1981981981982,2.21621621621622,5.66666666666667,5.66666666666667,2.33333333333333,14.3333333333333,2
"383",2021-03-18,5.21428571428571,5.64285714285714,3.64285714285714,9.82142857142857,1.85714285714286,7.98198198198198,8.46846846846847,5.18918918918919,14.8738738738739,2.47747747747748,4,5,2.66666666666667,9,0.666666666666667
"384",2021-03-19,6.25,6.07142857142857,3.60714285714286,9.96428571428571,1.82142857142857,7.61261261261261,8.3963963963964,4.85585585585586,14.5765765765766,2.41441441441441,3.66666666666667,4.66666666666667,3,9,1.66666666666667
"385",2021-03-20,5,5.21428571428571,3.32142857142857,10.8214285714286,2.14285714285714,7.36036036036036,7.76576576576577,4.72072072072072,13.3693693693694,2.07207207207207,8,4,2.66666666666667,13,1.66666666666667
"386",2021-03-21,4.78571428571429,5.71428571428571,2.89285714285714,9.60714285714286,1.60714285714286,7.52252252252252,7.72972972972973,4.64864864864865,13,2.10810810810811,6,4.33333333333333,2.33333333333333,12,1.33333333333333
"387",2021-03-22,5.14285714285714,5.53571428571429,2.89285714285714,10,1.92857142857143,7.18018018018018,7.28828828828829,4.15315315315315,12.8828828828829,2.2972972972973,5.66666666666667,7,3.33333333333333,7.33333333333333,1
